"device_state","response_code","set_number","status_timestamp","temperature_celsius","temperature_raw","test_state","trial_in_set","trial_instance_id","trigger_timestamp"
"","","0","","","","","0","speech_cycle_000","8483.687"
"2","0","0","8513.734","45.1","13000000e4ab196a00020100008d6d00009e1100000000","1","0","speech_cycle_000",""
